Data,Quantidade,Cod_produto,Valor,Cod_vendedor
2023-10-18,48,1,4989,2
2023-08-24,72,2,155,2
2023-07-11,4,1,4989,5
2023-09-18,19,3,757,3
2023-03-12,60,10,2937,1
2023-10-02,57,3,757,2
2023-04-12,71,3,757,5
2023-12-01,9,6,3962,3
2023-10-23,48,5,2615,4
2023-08-30,41,5,2615,1
2023-06-06,49,4,3473,5
2023-01-20,60,6,3962,2
2023-04-20,75,9,4563,3
2023-04-16,26,9,4563,2
2023-03-10,14,9,4563,3
2023-09-15,43,6,3962,2
2023-03-30,30,5,2615,2
2023-05-07,71,1,4989,5
2023-10-24,29,9,4563,5
2023-05-10,57,10,2937,1
2023-01-09,84,8,4531,2
2023-05-07,50,5,2615,2
2023-08-14,31,2,155,2
2023-09-15,23,10,2937,2
2023-02-24,3,1,4989,2
2023-04-04,57,10,2937,1
2023-12-10,85,5,2615,5
2023-04-06,26,5,2615,3
2023-01-16,34,3,757,4
2023-08-28,64,3,757,1
2023-04-07,57,10,2937,4
2023-12-05,8,8,4531,5
2023-11-06,32,6,3962,2
2023-07-18,88,2,155,2
2023-02-05,69,8,4531,1
2023-01-20,3,9,4563,3
2023-06-01,20,9,4563,2
2023-03-05,66,3,757,3
2023-04-22,83,5,2615,3
2023-04-25,40,3,757,2
2023-06-10,46,5,2615,3
2023-12-06,52,4,3473,1
2023-12-11,3,5,2615,5
2023-06-18,99,6,3962,2
2023-10-28,64,10,2937,1
2023-01-27,18,3,757,5
2023-02-12,47,9,4563,2
2023-12-04,56,2,155,3
2023-08-23,100,6,3962,4
2023-06-18,78,7,3625,4
2023-07-27,24,9,4563,1
2023-09-27,62,8,4531,2
2023-07-20,100,7,3625,1
2023-08-12,69,4,3473,1
2023-01-16,91,10,2937,4
2023-09-02,94,1,4989,5
2023-03-08,83,9,4563,5
2023-05-19,54,3,757,3
2023-12-05,15,7,3625,4
2023-02-01,87,4,3473,2
2023-07-24,29,4,3473,3
2023-08-28,79,6,3962,3
2023-09-22,29,1,4989,4
2023-01-01,36,6,3962,1
2023-09-16,33,9,4563,4
2023-12-15,24,4,3473,5
2023-12-18,80,1,4989,1
2023-02-03,24,1,4989,2
2023-12-10,84,3,757,4
2023-03-04,82,7,3625,1
2023-03-30,9,7,3625,1
2023-09-25,82,1,4989,4
2023-05-25,90,4,3473,3
2023-04-07,79,5,2615,1
2023-02-24,87,9,4563,2
2023-03-31,94,3,757,4
2023-07-18,4,5,2615,4
2023-08-19,6,3,757,5
2023-02-28,51,9,4563,4
2023-01-30,89,9,4563,1
2023-12-15,28,3,757,4
2023-11-26,35,9,4563,5
2023-03-04,41,3,757,4
2023-11-09,73,9,4563,3
2023-07-26,55,5,2615,3
2023-09-15,98,10,2937,4
2023-05-01,64,1,4989,4
2023-12-24,56,8,4531,1
2023-11-04,34,7,3625,4
2023-05-10,72,10,2937,1
2023-10-10,20,5,2615,2
2023-06-04,30,9,4563,5
2023-02-09,56,5,2615,1
2023-07-11,70,10,2937,1
2023-05-17,15,10,2937,5
2023-09-05,98,4,3473,1
2023-12-25,68,7,3625,1
2023-01-25,88,8,4531,3
2023-08-17,82,3,757,2
2023-07-21,16,5,2615,1
2023-05-03,17,8,4531,1
2023-04-03,59,7,3625,5
2023-10-20,74,2,155,3
2023-10-13,90,3,757,5
2023-10-25,41,5,2615,1
2023-07-03,32,10,2937,5
2023-06-13,18,1,4989,1
2023-05-14,76,10,2937,4
2023-08-16,19,8,4531,2
2023-03-14,32,7,3625,3
2023-11-17,53,7,3625,4
2023-07-25,76,4,3473,4
2023-06-05,65,9,4563,2
2023-04-11,31,6,3962,1
2023-07-21,30,1,4989,3
2023-05-27,44,10,2937,1
2023-10-16,45,4,3473,1
2023-05-03,46,10,2937,2
2023-12-16,16,10,2937,3
2023-03-15,31,7,3625,2
2023-05-03,40,7,3625,1
2023-05-22,53,2,155,1
2023-09-29,77,8,4531,3
2023-03-03,41,10,2937,3
2023-11-20,94,10,2937,3
2023-03-28,87,10,2937,2
2023-04-06,16,5,2615,4
2023-01-13,73,10,2937,1
2023-08-23,74,8,4531,2
2023-03-02,54,5,2615,4
2023-06-13,91,4,3473,2
2023-07-16,26,6,3962,2
2023-01-12,41,8,4531,1
2023-11-20,71,3,757,3
2023-04-01,92,1,4989,4
2023-08-16,76,2,155,3
2023-03-05,13,3,757,5
2023-05-29,67,7,3625,3
2023-07-16,10,7,3625,4
2023-12-26,32,6,3962,3
2023-06-01,2,7,3625,2
2023-09-17,3,1,4989,5
2023-08-30,99,4,3473,3
2023-08-01,77,6,3962,3
2023-06-29,37,1,4989,2
2023-04-17,21,4,3473,5
2023-04-19,56,9,4563,3
2023-08-29,37,9,4563,5
2023-07-13,10,5,2615,4
2023-08-17,16,9,4563,1
2023-11-06,50,8,4531,2
2023-08-05,74,9,4563,3
2023-03-11,3,4,3473,3
2023-05-19,41,8,4531,1
2023-01-31,45,9,4563,5
2023-07-28,75,2,155,5
2023-11-05,82,7,3625,3
2023-11-21,8,4,3473,2
2023-04-10,89,9,4563,2
2023-04-14,90,7,3625,3
2023-09-13,55,4,3473,4
2023-05-02,44,6,3962,1
2023-12-11,44,9,4563,2
2023-10-19,42,2,155,2
2023-06-27,64,9,4563,1
2023-08-19,34,6,3962,4
2023-04-25,74,5,2615,1
2023-04-26,63,5,2615,5
2023-10-07,30,7,3625,1
2023-12-16,93,8,4531,1
2023-10-27,83,5,2615,3
2023-10-13,30,10,2937,4
2023-09-13,62,5,2615,1
2023-02-03,58,4,3473,1
2023-05-28,83,7,3625,2
2023-12-07,19,6,3962,1
2023-03-30,68,4,3473,1
2023-01-20,54,8,4531,5
2023-11-19,54,3,757,4
2023-03-09,95,5,2615,4
2023-08-08,57,5,2615,4
2023-09-27,11,7,3625,1
2023-02-26,3,6,3962,2
2023-10-06,22,1,4989,2
2023-09-26,53,9,4563,1
2023-05-26,46,4,3473,3
2023-12-03,2,7,3625,1
2023-09-23,33,2,155,2
2023-02-16,68,8,4531,2
2023-08-12,80,1,4989,5
2023-04-06,84,7,3625,4
2023-06-03,29,5,2615,5
2023-10-28,85,5,2615,1
2023-12-03,68,9,4563,1
2023-01-09,1,2,155,3
2023-12-14,51,8,4531,4
2023-07-08,40,3,757,4
2023-06-07,58,6,3962,2
2023-09-29,68,8,4531,1
2023-09-11,17,2,155,3
2023-12-11,30,5,2615,2
2023-05-27,50,1,4989,4
2023-06-30,16,6,3962,2
2023-08-13,76,5,2615,1
2023-12-09,37,3,757,1
2023-10-31,20,5,2615,1
2023-12-06,13,1,4989,1
2023-08-24,69,1,4989,4
2023-09-25,16,7,3625,5
2023-10-15,53,3,757,4
2023-03-03,73,10,2937,3
2023-11-25,16,10,2937,3
2023-11-27,76,10,2937,3
2023-08-03,39,5,2615,2
2023-06-05,98,3,757,2
2023-01-20,10,3,757,4
2023-11-14,83,2,155,1
2023-11-17,80,5,2615,3
2023-09-11,93,6,3962,5
2023-10-02,69,6,3962,4
2023-07-07,83,8,4531,5
2023-08-13,79,5,2615,5
2023-05-19,95,4,3473,5
2023-10-08,43,7,3625,1
2023-05-31,96,10,2937,5
2023-09-23,3,2,155,3
2023-04-15,19,7,3625,4
2023-08-05,47,9,4563,1
2023-04-17,65,9,4563,3
2023-07-07,1,6,3962,2
2023-05-15,2,6,3962,4
2023-12-15,12,2,155,1
2023-03-28,8,10,2937,5
2023-09-21,43,9,4563,3
2023-06-01,63,3,757,2
2023-11-10,78,5,2615,3
2023-10-26,77,7,3625,1
2023-11-11,86,9,4563,1
2023-12-31,48,4,3473,2
2023-02-01,13,1,4989,5
2023-01-29,53,7,3625,4
2023-11-14,13,5,2615,1
2023-10-15,20,7,3625,4
2023-08-18,47,10,2937,1
2023-04-21,90,6,3962,5
2023-05-23,71,4,3473,2
2023-10-09,57,2,155,1
2023-08-30,85,8,4531,5
2023-08-03,59,6,3962,2
2023-09-30,56,9,4563,4
2023-02-23,93,4,3473,5
2023-02-18,34,5,2615,2
2023-10-03,24,2,155,2
2023-09-23,100,5,2615,5
2023-04-06,17,8,4531,5
2023-07-21,60,5,2615,4
2023-04-14,92,4,3473,5
2023-01-13,55,4,3473,2
2023-11-09,88,3,757,4
2023-05-04,94,9,4563,5
2023-06-05,42,7,3625,4
2023-12-16,75,9,4563,2
2023-08-12,53,6,3962,2
2023-11-03,100,4,3473,4
2023-03-10,61,5,2615,5
2023-06-05,58,7,3625,3
2023-05-29,70,4,3473,3
2023-05-24,99,7,3625,2
2023-07-23,24,3,757,4
2023-08-26,8,5,2615,3
2023-02-13,43,1,4989,1
2023-04-10,4,6,3962,5
2023-02-27,8,1,4989,1
2023-11-18,55,2,155,4
2023-03-05,75,5,2615,4
2023-12-19,72,9,4563,2
2023-07-31,26,7,3625,3
2023-09-13,56,7,3625,4
2023-09-16,88,9,4563,1
2023-06-06,18,1,4989,5
2023-07-05,29,5,2615,3
2023-09-05,64,1,4989,3
2023-04-08,54,7,3625,5
2023-11-23,2,8,4531,1
2023-09-14,88,2,155,2
2023-12-31,2,3,757,4
2023-09-28,39,3,757,4
2023-07-31,23,8,4531,2
2023-03-30,61,7,3625,2
2023-12-17,13,5,2615,4
2023-08-05,53,6,3962,2
2023-01-10,9,8,4531,3
2023-09-10,92,5,2615,2
2023-01-28,82,6,3962,4
2023-04-05,82,10,2937,3
2023-09-06,60,2,155,1
2023-05-16,22,2,155,4
2023-12-18,79,3,757,5
2023-09-27,90,8,4531,2
2023-01-10,41,10,2937,3
2023-12-25,93,2,155,2
2023-08-10,3,1,4989,4
2023-07-19,88,5,2615,4
2023-08-29,81,10,2937,4
2023-12-05,72,10,2937,1
2023-11-07,79,10,2937,5
2023-03-03,81,1,4989,5
2023-01-14,54,7,3625,1
2023-07-09,94,5,2615,1
2023-10-19,56,1,4989,5
2023-08-28,89,8,4531,1
2023-11-05,90,10,2937,2
2023-08-27,87,6,3962,2
2023-04-03,28,9,4563,5
2023-11-05,91,2,155,4
2023-11-15,83,6,3962,2
2023-04-03,52,10,2937,4
2023-04-20,8,5,2615,3
2023-03-16,2,3,757,1
2023-01-15,87,6,3962,1
2023-08-14,93,2,155,1
2023-12-18,24,7,3625,4
2023-08-15,18,5,2615,5
2023-03-05,42,5,2615,5
2023-11-25,96,4,3473,2
2023-11-02,3,2,155,4
2023-10-08,10,5,2615,3
2023-12-28,37,1,4989,2
2023-03-02,47,6,3962,2
2023-10-04,94,6,3962,5
2023-01-24,83,10,2937,4
2023-07-07,65,9,4563,3
2023-08-10,51,10,2937,5
2023-07-05,17,5,2615,1
2023-08-15,4,9,4563,1
2023-07-20,39,6,3962,5
2023-10-20,24,8,4531,1
2023-05-03,98,6,3962,1
2023-09-05,50,8,4531,5
2023-06-05,78,6,3962,3
2023-09-16,21,6,3962,4
2023-10-10,96,3,757,3
2023-01-15,72,2,155,1
2023-02-15,36,6,3962,3
2023-04-02,94,10,2937,4
2023-12-13,79,10,2937,1
2023-08-07,57,8,4531,4
2023-10-07,28,10,2937,4
2023-12-16,30,1,4989,3
2023-02-08,5,2,155,5
2023-10-04,75,4,3473,2
2023-10-05,58,5,2615,1
2023-08-15,43,10,2937,2
2023-11-24,41,6,3962,5
2023-09-23,10,6,3962,4
2023-08-04,46,4,3473,1
2023-10-02,33,1,4989,4
2023-01-09,44,5,2615,5
2023-02-23,74,10,2937,5
2023-09-16,15,3,757,1
2023-11-14,77,5,2615,3
2023-11-13,38,2,155,5
2023-12-02,74,6,3962,3
2023-10-01,55,1,4989,5
2023-10-19,88,7,3625,3
2023-07-28,82,9,4563,5
2023-05-28,70,1,4989,4
2023-08-09,98,10,2937,5
2023-11-06,29,7,3625,5
2023-03-24,71,2,155,3
2023-03-19,80,2,155,2
2023-10-02,8,1,4989,5
2023-02-28,81,1,4989,4
2023-07-08,82,9,4563,1
2023-02-13,18,1,4989,3
2023-08-01,69,3,757,4
2023-02-08,37,3,757,5
2023-09-27,22,9,4563,2
2023-01-07,47,2,155,5
2023-10-18,5,9,4563,1
2023-01-28,32,4,3473,2
2023-07-21,20,9,4563,1
2023-02-09,30,1,4989,1
2023-01-30,29,4,3473,3
2023-09-28,6,4,3473,1
2023-05-19,16,3,757,1
2023-01-09,94,1,4989,5
2023-11-07,33,7,3625,2
2023-10-13,35,6,3962,2
2023-11-12,32,5,2615,5
2023-09-04,77,4,3473,1
2023-12-14,9,10,2937,3
2023-12-27,66,2,155,4
2023-03-14,1,6,3962,2
2023-04-14,21,2,155,3
2023-04-26,89,6,3962,4
2023-06-26,72,7,3625,1
2023-06-27,42,6,3962,4
2023-12-31,16,9,4563,3
2023-02-09,94,4,3473,1
2023-01-26,58,3,757,2
2023-07-17,9,2,155,5
2023-09-09,87,9,4563,4
2023-01-10,42,5,2615,1
2023-10-03,98,9,4563,3
2023-02-21,23,6,3962,1
2023-07-12,65,5,2615,3
2023-10-22,99,8,4531,5
2023-02-27,12,1,4989,2
2023-10-02,12,5,2615,5
2023-07-16,15,1,4989,1
2023-04-30,82,2,155,4
2023-01-29,44,5,2615,4
2023-11-20,83,5,2615,1
2023-11-15,28,2,155,3
2023-04-10,64,7,3625,1
2023-08-26,72,9,4563,1
2023-05-03,46,8,4531,3
2023-09-23,92,2,155,4
2023-05-07,1,4,3473,3
2023-07-11,9,3,757,4
2023-05-02,11,10,2937,4
2023-12-10,13,6,3962,2
2023-04-21,35,6,3962,2
2023-11-10,48,1,4989,1
2023-01-31,88,10,2937,4
2023-09-01,52,3,757,5
2023-03-02,29,4,3473,3
2023-08-19,84,1,4989,4
2023-04-07,62,7,3625,2
2023-12-08,80,6,3962,4
2023-01-01,53,8,4531,3
2023-07-16,83,7,3625,2
2023-10-08,85,6,3962,3
2023-02-14,82,10,2937,4
2023-03-04,81,4,3473,3
2023-12-14,38,2,155,4
2023-03-26,70,2,155,4
2023-08-17,18,5,2615,5
2023-10-07,50,5,2615,1
2023-10-13,51,8,4531,5
2023-10-23,78,3,757,5
2023-02-10,26,9,4563,4
2023-12-29,65,3,757,3
2023-01-30,2,10,2937,3
2023-11-20,79,5,2615,3
2023-04-18,91,10,2937,4
2023-03-17,14,3,757,5
2023-02-27,42,6,3962,4
2023-06-22,11,5,2615,1
2023-06-17,72,2,155,5
2023-08-29,56,1,4989,2
2023-01-13,71,4,3473,1
2023-07-01,35,4,3473,3
2023-04-25,47,5,2615,1
2023-11-26,94,6,3962,2
2023-05-09,36,8,4531,5
2023-08-09,89,9,4563,1
2023-10-29,100,7,3625,4
2023-05-03,54,9,4563,4
2023-10-26,3,5,2615,4
2023-11-12,17,3,757,5
2023-11-16,99,10,2937,2
2023-01-20,86,1,4989,4
2023-11-03,29,2,155,5
2023-12-12,86,8,4531,5
2023-05-19,19,5,2615,4
2023-12-15,43,10,2937,1
2023-07-19,70,9,4563,4
2023-11-17,14,5,2615,3
2023-03-04,49,6,3962,3
2023-04-23,87,1,4989,4
2023-08-21,86,8,4531,4
2023-08-31,8,2,155,2
2023-10-31,86,4,3473,1
2023-02-14,43,8,4531,1
2023-07-07,67,5,2615,1
2023-01-03,42,1,4989,4
2023-01-23,100,4,3473,3
2023-07-08,48,5,2615,3
2023-12-04,75,5,2615,4
2023-11-05,74,1,4989,3
2023-06-25,59,4,3473,4
2023-02-06,11,10,2937,5
2023-12-07,43,5,2615,1
2023-05-26,59,4,3473,2
2023-10-26,4,6,3962,5
2023-08-29,100,10,2937,4
2023-02-12,26,10,2937,4
2023-05-02,51,4,3473,4
2023-08-22,91,3,757,3
2023-01-07,51,3,757,1
2023-10-07,22,5,2615,2
2023-01-25,80,2,155,3
2023-03-03,50,7,3625,5
2023-10-03,61,10,2937,4
2023-01-18,28,2,155,3
2023-07-19,46,9,4563,3
2023-04-06,98,9,4563,5
2023-02-13,21,7,3625,1
2023-09-03,66,4,3473,4
2023-12-13,61,4,3473,1
2023-11-26,73,6,3962,2
2023-05-03,46,9,4563,1
2023-05-20,43,2,155,3
2023-05-16,97,8,4531,3
2023-12-01,58,10,2937,3
2023-07-23,74,2,155,1
2023-09-10,35,2,155,5
2023-08-23,59,7,3625,3
2023-07-07,96,3,757,2
2023-08-06,76,6,3962,3
2023-04-20,63,2,155,3
2023-11-11,86,7,3625,2
2023-08-04,11,5,2615,3
2023-11-05,76,1,4989,4
2023-09-27,63,5,2615,1
2023-08-19,60,8,4531,4
2023-05-02,97,2,155,3
2023-07-11,62,4,3473,2
2023-04-18,90,2,155,4
2023-04-16,11,9,4563,4
2023-04-22,80,6,3962,1
2023-11-10,29,5,2615,4
2023-12-26,100,8,4531,4
2023-04-11,37,7,3625,5
2023-01-05,85,4,3473,1
2023-12-17,64,5,2615,1
2023-05-01,27,1,4989,3
2023-04-07,67,2,155,4
2023-04-22,64,4,3473,2
2023-07-04,89,3,757,5
2023-05-22,49,10,2937,3
2023-10-16,52,9,4563,3
2023-12-17,28,2,155,1
2023-12-14,53,2,155,1
2023-10-06,91,3,757,4
2023-04-02,68,6,3962,5
2023-08-26,66,1,4989,1
2023-10-08,35,3,757,2
2023-11-09,32,4,3473,1
2023-06-08,49,2,155,4
2023-12-05,62,7,3625,5
2023-11-13,74,6,3962,3
2023-04-25,80,7,3625,5
2023-03-26,20,5,2615,3
2023-11-12,10,3,757,2
2023-02-21,37,4,3473,5
2023-07-29,69,8,4531,3
2023-06-29,23,9,4563,2
2023-06-30,54,10,2937,1
2023-06-14,48,8,4531,1
2023-07-08,26,5,2615,4
2023-09-03,40,9,4563,2
2023-04-19,81,6,3962,3
2023-10-03,10,7,3625,5
2023-04-17,44,4,3473,5
2023-02-20,16,8,4531,3
2023-08-23,7,9,4563,3
2023-09-28,89,3,757,4
2023-11-08,87,2,155,3
2023-10-28,64,8,4531,3
2023-10-04,7,2,155,4
2023-05-26,16,9,4563,4
2023-06-28,30,10,2937,3
2023-03-29,92,9,4563,1
2023-11-07,13,8,4531,1
2023-07-06,87,6,3962,5
2023-06-13,89,4,3473,5
2023-10-24,100,5,2615,1
2023-05-05,63,1,4989,2
2023-06-01,32,2,155,2
2023-06-09,80,7,3625,1
2023-05-09,36,8,4531,2
2023-11-19,64,1,4989,4
2023-04-09,6,3,757,2
2023-12-12,56,7,3625,4
2023-08-20,9,2,155,3
2023-10-20,27,10,2937,3
2023-03-21,92,8,4531,5
2023-06-03,75,10,2937,4
2023-07-06,16,9,4563,3
2023-12-04,25,6,3962,2
2023-01-05,83,6,3962,3
2023-05-23,75,4,3473,2
2023-03-14,98,7,3625,2
2023-12-26,46,2,155,3
2023-11-29,47,2,155,5
2023-01-17,96,9,4563,3
2023-11-18,13,6,3962,3
2023-02-13,60,3,757,5
2023-06-15,66,2,155,3
2023-02-09,17,10,2937,1
2023-03-30,91,2,155,4
2023-11-30,60,6,3962,3
2023-08-03,34,4,3473,2
2023-05-05,59,10,2937,5
2023-10-28,61,5,2615,2
2023-08-13,36,9,4563,1
2023-10-21,48,2,155,5
2023-09-24,12,5,2615,4
2023-06-11,25,8,4531,5
2023-09-09,65,7,3625,4
2023-10-19,53,10,2937,3
2023-09-01,24,9,4563,5
2023-05-25,83,4,3473,3
2023-09-09,34,1,4989,2
2023-10-11,90,3,757,1
2023-08-15,29,4,3473,3
2023-10-11,13,9,4563,3
2023-12-20,84,7,3625,4
2023-08-15,50,7,3625,3
2023-10-18,15,3,757,2
2023-02-24,50,4,3473,4
2023-01-12,43,9,4563,5
2023-06-14,55,2,155,3
2023-02-27,60,4,3473,4
2023-03-06,93,10,2937,1
2023-10-14,34,7,3625,2
2023-05-27,49,7,3625,2
2023-09-19,75,6,3962,3
2023-09-13,93,10,2937,3
2023-03-04,55,7,3625,5
2023-04-24,84,4,3473,5
2023-04-23,51,7,3625,3
2023-04-12,16,3,757,3
2023-04-06,57,5,2615,2
2023-04-18,39,1,4989,3
2023-05-09,53,2,155,1
2023-12-16,93,2,155,3
2023-10-25,48,4,3473,3
2023-01-06,34,4,3473,5
2023-11-25,29,1,4989,1
2023-01-13,96,3,757,2
2023-11-08,11,2,155,5
2023-07-16,31,8,4531,1
2023-09-24,4,8,4531,1
2023-02-05,45,8,4531,4
2023-12-16,74,5,2615,5
2023-01-21,74,7,3625,3
2023-04-04,56,5,2615,2
2023-02-05,67,5,2615,4
2023-09-27,89,8,4531,5
2023-05-17,33,3,757,2
2023-02-23,92,5,2615,1
2023-03-20,54,8,4531,1
2023-10-24,100,1,4989,3
2023-09-03,23,8,4531,5
2023-12-28,52,6,3962,4
2023-04-28,60,7,3625,2
2023-03-16,83,3,757,2
2023-07-01,93,5,2615,1
2023-06-05,2,7,3625,5
2023-02-06,83,6,3962,1
2023-12-31,9,6,3962,4
2023-08-01,21,9,4563,1
2023-01-17,83,2,155,2
2023-10-07,68,2,155,3
2023-04-24,29,3,757,1
2023-08-11,1,4,3473,3
2023-09-21,10,1,4989,4
2023-01-31,21,10,2937,5
2023-03-02,91,10,2937,2
2023-08-05,89,1,4989,3
2023-12-03,47,3,757,3
2023-12-01,38,9,4563,2
2023-09-21,8,5,2615,2
2023-12-31,68,4,3473,3
2023-07-05,53,8,4531,3
2023-12-08,21,3,757,4
2023-01-10,22,6,3962,3
2023-06-25,100,5,2615,4
2023-11-08,98,2,155,5
2023-05-17,32,1,4989,3
2023-01-10,68,6,3962,5
2023-03-16,99,6,3962,1
2023-03-01,75,9,4563,1
2023-08-21,43,6,3962,4
2023-03-12,98,9,4563,5
2023-12-27,70,2,155,3
2023-05-18,66,9,4563,2
2023-12-27,100,3,757,2
2023-05-23,8,8,4531,4
2023-06-16,24,6,3962,4
2023-04-22,100,3,757,2
2023-02-15,43,8,4531,2
2023-11-24,78,1,4989,3
2023-09-09,18,1,4989,4
2023-05-05,62,7,3625,4
2023-03-19,31,10,2937,5
2023-03-24,40,8,4531,5
2023-05-12,12,2,155,2
2023-08-09,6,5,2615,1
2023-02-10,4,6,3962,4
2023-01-19,3,4,3473,2
2023-02-15,10,10,2937,2
2023-02-03,32,1,4989,5
2023-05-06,25,2,155,3
2023-12-18,55,6,3962,5
2023-12-26,21,8,4531,4
2023-04-13,42,2,155,1
2023-11-01,79,8,4531,5
2023-09-10,61,9,4563,4
2023-12-02,89,8,4531,4
2023-07-24,82,10,2937,1
2023-12-27,97,2,155,1
2023-12-07,17,7,3625,3
2023-03-01,42,5,2615,3
2023-09-30,62,1,4989,2
2023-12-17,53,8,4531,1
2023-09-28,78,7,3625,4
2023-09-24,45,2,155,3
2023-07-15,68,1,4989,4
2023-05-10,65,5,2615,2
2023-05-20,93,1,4989,4
2023-12-24,42,7,3625,1
2023-12-29,83,6,3962,1
2023-05-18,23,5,2615,2
2023-07-28,33,7,3625,1
2023-03-29,73,2,155,4
2023-05-03,4,5,2615,5
2023-09-03,58,4,3473,4
2023-08-24,52,3,757,2
2023-11-14,20,10,2937,3
2023-04-24,92,8,4531,3
2023-04-10,54,8,4531,5
2023-11-25,62,5,2615,2
2023-07-24,9,6,3962,3
2023-01-31,13,5,2615,2
